,Daily Global Risk Appetite,Equity-Only Risk Appetite,US Credit Risk Appetite (New)
27/05/2010,-1.36,-1.91,0.24
28/05/2010,-1.37,-1.61,0.24
31/05/2010,-1.31,-1.48,0.21
01/06/2010,-1.45,-1.4,-0.01
02/06/2010,-1.37,-1.69,-0.18
03/06/2010,-1.15,-1.56,-0.08
04/06/2010,-1.6,-1.46,-0.29
07/06/2010,-1.91,-1.43,-0.44
08/06/2010,-1.97,-1.63,-0.68
09/06/2010,-1.8,-1.13,-0.8
10/06/2010,-1.48,-1.28,-0.99
11/06/2010,-1.47,-1.25,-1.11
14/06/2010,-1.28,-0.92,-1.11
15/06/2010,-1.17,-1.12,-1.15
16/06/2010,-1.18,-1.14,-1.11
17/06/2010,-1.26,-1.12,-1.08
18/06/2010,-1.13,-0.83,-1.07
21/06/2010,-0.92,-0.47,-1.04
22/06/2010,-1.19,-0.38,-1.16
23/06/2010,-1.48,-0.55,-1.26
24/06/2010,-1.78,-0.61,-1.45
25/06/2010,-1.92,-0.65,-1.55
28/06/2010,-1.95,-0.47,-1.62
29/06/2010,-2.52,-0.59,-1.81
30/06/2010,-2.6,-0.38,-1.86
01/07/2010,-2.86,-0.48,-1.94
02/07/2010,-2.73,-0.14,-1.99
05/07/2010,-2.81,-0.22,-2.03
06/07/2010,-2.54,0.09,-2
07/07/2010,-2.38,-0.3,-2.01
08/07/2010,-2.18,-0.36,-1.89
09/07/2010,-2.07,-0.4,-1.77
12/07/2010,-2.07,-0.4,-1.71
13/07/2010,-1.79,-0.37,-1.54
14/07/2010,-1.74,-0.37,-1.48
15/07/2010,-1.85,-0.35,-1.44
16/07/2010,-2.1,0.04,-1.4
19/07/2010,-2.09,-0.19,-1.43
20/07/2010,-2.02,-0.22,-1.43
21/07/2010,-1.9,0.35,-1.34
22/07/2010,-1.54,0.41,-1.25
23/07/2010,-1.33,0.19,-1.16
26/07/2010,-1.09,0.26,-0.96
27/07/2010,-0.86,0.65,-0.63
28/07/2010,-0.82,0.64,-0.51
29/07/2010,-0.75,0.93,-0.42
30/07/2010,-0.85,0.86,-0.29
02/08/2010,-0.33,1.17,-0.07
03/08/2010,-0.37,1.18,0.02
04/08/2010,-0.29,1.28,0.2
05/08/2010,-0.24,1.32,0.28
06/08/2010,-0.37,1.29,0.28
09/08/2010,-0.24,1.41,0.31
10/08/2010,-0.43,1.19,0.19
11/08/2010,-0.94,1.36,0.08
12/08/2010,-0.96,1.44,0.06
13/08/2010,-0.99,1.53,0.05
16/08/2010,-1.05,1.78,0.81
17/08/2010,-0.77,1.95,-0.04
18/08/2010,-0.79,1.9,0.34
19/08/2010,-1,2.04,0.71
20/08/2010,-1.2,1.92,-0.05
23/08/2010,-1.25,2.02,-0.09
24/08/2010,-1.72,1.74,0.22
25/08/2010,-1.9,1.5,-0.18
26/08/2010,-1.86,1.89,-0.3
27/08/2010,-1.69,1.6,-0.42
30/08/2010,-1.85,1.79,-0.62
31/08/2010,-1.98,2.02,-0.8
01/09/2010,-1.49,2.08,-0.71
02/09/2010,-1.42,1.94,-0.73
03/09/2010,-1.23,1.9,-0.67
06/09/2010,-1.17,1.93,-0.72
07/09/2010,-1.41,1.87,-0.8
08/09/2010,-1.47,1.94,-0.79
09/09/2010,-1.32,1.99,-0.79
10/09/2010,-1.27,1.79,-0.73
13/09/2010,-1.13,1.99,-0.67
14/09/2010,-1.24,1.96,-0.69
15/09/2010,-1.29,1.81,-0.74
16/09/2010,-1.36,1.66,-0.82
17/09/2010,-1.49,1.53,-0.87
20/09/2010,-1.38,1.44,-0.91
21/09/2010,-1.52,1.61,-0.99
22/09/2010,-1.68,1.73,-1.02
23/09/2010,-1.8,1.79,-1.09
24/09/2010,-1.58,1.79,-1.16
27/09/2010,-1.67,1.86,-1.23
28/09/2010,-1.75,1.83,-1.32
29/09/2010,-1.83,1.87,-1.35
30/09/2010,-1.88,2.11,-1.33
01/10/2010,-1.8,2.24,-1.29
04/10/2010,-1.93,2.44,-1.33
05/10/2010,-1.72,2.32,-1.15
06/10/2010,-1.71,2.45,-1.11
07/10/2010,-1.75,2.41,-1.04
08/10/2010,-1.78,2.32,-0.97
11/10/2010,-1.74,2.51,-0.99
12/10/2010,-1.83,2.36,-0.95
13/10/2010,-1.46,2.81,-0.87
14/10/2010,-1.45,2.78,-0.98
15/10/2010,-1.37,2.72,-1
18/10/2010,-1.35,2.5,-0.96
19/10/2010,-1.49,2.57,-0.9
20/10/2010,-1.3,2.72,-0.9
21/10/2010,-1.04,3.04,-0.71
22/10/2010,-0.9,3.05,-0.57
25/10/2010,-0.73,3.33,-0.34
26/10/2010,-0.62,3.28,-0.16
27/10/2010,-0.55,3.18,0.02
28/10/2010,-0.43,3.33,0.12
29/10/2010,-0.4,3.48,0.23
01/11/2010,-0.28,3.68,0.44
02/11/2010,-0.04,3.82,0.59
03/11/2010,0.03,3.89,0.78
04/11/2010,0.5,4.03,1.27
05/11/2010,0.57,3.65,1.63
08/11/2010,0.68,3.56,1.92
09/11/2010,0.99,4.17,2.22
10/11/2010,1.09,3.64,2.23
11/11/2010,1.02,3.31,2.39
12/11/2010,1.15,3.54,2.44
15/11/2010,1.36,3.64,2.51
16/11/2010,1.3,3.61,2.55
17/11/2010,1.38,3.59,2.67
18/11/2010,1.8,3.59,2.83
19/11/2010,1.87,3.61,2.95
22/11/2010,1.79,3.33,2.96
23/11/2010,1.4,2.95,2.91
24/11/2010,1.69,2.93,2.96
25/11/2010,1.91,2.82,3.08
26/11/2010,1.76,2.52,3.22
29/11/2010,1.52,2.05,3.09
30/11/2010,1.36,2.07,2.91
01/12/2010,1.82,2.4,3.01
02/12/2010,2.33,2.54,3.15
03/12/2010,2.41,2.67,3.24
06/12/2010,2.33,2.64,3.32
07/12/2010,2.53,2.77,3.61
08/12/2010,2.55,2.37,3.67
09/12/2010,2.57,2.27,3.85
10/12/2010,2.5,1.98,3.93
13/12/2010,2.68,2.06,3.99
14/12/2010,2.88,2.02,4.04
15/12/2010,2.8,1.77,4.18
16/12/2010,2.77,1.31,4.23
17/12/2010,2.66,1.17,4.2
20/12/2010,2.66,0.98,4.26
21/12/2010,2.87,1.05,4.34
22/12/2010,2.86,0.91,4.39
23/12/2010,2.86,0.85,4.37
24/12/2010,2.86,0.79,4.34
27/12/2010,2.71,0.51,4.31
28/12/2010,2.79,0.54,4.29
29/12/2010,2.84,0.68,4.29
30/12/2010,2.78,0.77,4.3
31/12/2010,2.74,0.74,4.31
03/01/2011,3.04,0.87,4.55
04/01/2011,3.12,0.67,4.67
05/01/2011,3.17,0.31,4.72
06/01/2011,3.14,0.05,4.7
07/01/2011,2.88,-0.22,4.52
10/01/2011,2.56,-0.8,4.38
11/01/2011,2.7,-0.75,4.41
12/01/2011,3.03,-0.34,4.44
13/01/2011,2.99,-0.24,4.43
14/01/2011,2.9,-0.47,4.34
17/01/2011,2.75,-0.63,4.25
18/01/2011,2.87,-0.5,4.2
19/01/2011,2.76,-0.26,4.19
20/01/2011,2.56,-0.55,4.08
21/01/2011,2.56,-0.43,4.08
24/01/2011,2.52,-0.76,4.05
25/01/2011,2.35,-1.06,3.89
26/01/2011,2.56,-0.92,3.9
27/01/2011,2.61,-0.96,3.87
28/01/2011,2.25,-1,3.74
31/01/2011,2.21,-1.26,3.71
01/02/2011,2.57,-1.2,3.78
02/02/2011,2.65,-1.24,3.81
03/02/2011,2.59,-1.51,3.77
04/02/2011,2.73,-1.63,3.94
07/02/2011,2.85,-1.79,4.01
08/02/2011,2.96,-2.03,4.06
09/02/2011,2.93,-2.23,4.13
10/02/2011,2.75,-2.9,4.12
11/02/2011,2.82,-2.96,4.07
14/02/2011,2.93,-3.01,4.16
15/02/2011,2.99,-3.02,4.22
16/02/2011,3.18,-3.05,4.28
17/02/2011,3.19,-3.17,4.35
18/02/2011,3.3,-3.03,4.43
21/02/2011,3.07,-3.31,4.48
22/02/2011,2.82,-3.02,4.38
23/02/2011,2.67,-2.99,4.3
24/02/2011,2.56,-3.03,4.13
25/02/2011,2.74,-3.04,4.15
28/02/2011,2.83,-3.07,4.26
01/03/2011,2.68,-2.99,4.32
02/03/2011,2.6,-2.94,4.27
03/03/2011,2.82,-3.13,4.36
04/03/2011,2.81,-2.87,4.43
07/03/2011,2.68,-2.54,4.38
08/03/2011,2.76,-2.72,4.38
09/03/2011,2.6,-2.7,4.39
10/03/2011,2.21,-2.5,4.26
11/03/2011,2.03,-2.61,4.22
14/03/2011,1.82,-1.92,4.2
15/03/2011,1.04,-2.25,3.78
16/03/2011,0.86,-2.12,3.71
17/03/2011,1.02,-2.28,3.7
18/03/2011,1.16,-2.25,3.72
21/03/2011,1.43,-2.37,3.72
22/03/2011,1.58,-2.26,3.77
23/03/2011,1.56,-2.35,3.7
24/03/2011,1.74,-2.29,3.72
25/03/2011,1.8,-2.33,3.67
28/03/2011,1.79,-2.26,3.66
29/03/2011,1.77,-2.59,3.54
30/03/2011,1.94,-2.59,3.5
31/03/2011,1.9,-2.57,3.49
01/04/2011,2.1,-2.39,3.51
04/04/2011,2.11,-2.2,3.6
05/04/2011,2.09,-2.27,3.65
06/04/2011,2.22,-1.97,3.83
07/04/2011,2.18,-1.95,3.81
08/04/2011,2.28,-1.82,3.83
11/04/2011,2.19,-1.92,3.84
12/04/2011,1.81,-2.12,3.68
13/04/2011,1.87,-1.96,3.65
14/04/2011,1.68,-2.25,3.54
15/04/2011,1.58,-2.47,3.48
18/04/2011,1.14,-2.76,3.35
19/04/2011,1.12,-2.68,3.27
20/04/2011,1.48,-2.7,3.33
21/04/2011,1.76,-2.67,3.25
22/04/2011,1.73,-2.63,3.18
25/04/2011,1.64,-2.59,3.14
26/04/2011,1.55,-2.92,3.08
27/04/2011,1.65,-3.06,3.04
28/04/2011,1.7,-2.96,2.98
29/04/2011,1.73,-2.83,2.98
02/05/2011,1.85,-2.56,3
03/05/2011,1.54,-2.96,2.95
04/05/2011,1.29,-2.97,2.91
05/05/2011,1.05,-2.91,2.78
06/05/2011,1,-3.23,2.68
09/05/2011,0.85,-3.6,2.58
10/05/2011,0.99,-3.56,2.56
11/05/2011,0.98,-3.11,2.52
12/05/2011,0.72,-3.65,2.44
13/05/2011,0.51,-3.5,2.39
16/05/2011,0.31,-3.36,2.46
17/05/2011,0.2,-3.37,2.47
18/05/2011,0.3,-3.52,2.45
19/05/2011,0.27,-3.64,2.54
20/05/2011,0.05,-3.58,2.52
23/05/2011,-0.43,-3.76,2.55
24/05/2011,-0.41,-3.41,2.51
25/05/2011,-0.48,-3.62,2.45
26/05/2011,-0.46,-3.52,2.37
27/05/2011,-0.46,-3.39,2.44
30/05/2011,-0.54,-3.4,2.45
31/05/2011,-0.23,-3.16,2.45
01/06/2011,-0.44,-2.45,2.43
02/06/2011,-0.72,-2.5,2.26
03/06/2011,-0.84,-2.15,2.16
06/06/2011,-1.02,-1.96,2.09
07/06/2011,-0.96,-1.74,2.11
08/06/2011,-1.23,-1.78,1.98
09/06/2011,-1.23,-2,1.85
10/06/2011,-1.53,-1.74,1.74
13/06/2011,-1.66,-1.79,1.57
14/06/2011,-1.4,-1.87,1.6
15/06/2011,-1.73,-1.6,1.54
16/06/2011,-2.13,-2.11,1.35
17/06/2011,-2.1,-1.97,1.31
20/06/2011,-2.28,-2.32,1.23
21/06/2011,-1.96,-2.25,1.23
22/06/2011,-1.92,-1.98,1.14
23/06/2011,-2.32,-2.26,0.89
24/06/2011,-2.31,-1.79,0.84
27/06/2011,-2.35,-2.13,0.76
28/06/2011,-2.06,-2.24,0.73
29/06/2011,-1.67,-2,0.91
30/06/2011,-1.4,-1.95,1.14
01/07/2011,-1.14,-2.02,1.25
04/07/2011,-1.02,-1.76,1.2
05/07/2011,-1.22,-1.9,1.31
06/07/2011,-1.38,-2.18,1.25
07/07/2011,-1.3,-2.32,1.33
08/07/2011,-1.59,-2.31,1.19
11/07/2011,-2.14,-2.32,0.88
